unit,duration,partner,age,geo\time	2012 	2013 	2014 	2015 	2016 	2017 
NR,N_GE1,WORLD,Y55-64,CZ	1054181 	1078582 	1198682 	1062326 	1064424 	: 
NR,N_GE1,WORLD,Y55-64,DE	7823398 	8302908 	8147896 	8208099 	8350330 	8875289 
NR,N_GE1,WORLD,Y55-64,DK	544584 e	564495 	571662 	520184 	562943 	: 
NR,N_GE1,WORLD,Y55-64,EE	84547 	106969 	104244 	108170 	107562 	: 
NR,N_GE1,WORLD,Y55-64,EL	455489 	443456 	487036 	480533 	468418 	: 
NR,N_GE1,WORLD,Y55-64,ES	2883765 	3028601 	3051116 	3270965 b	3566656 	: 
NR,N_GE1,WORLD,Y55-64,FI	706558 	673560 	677777 	652332 	665694 	: 
NR,N_GE1,WORLD,Y55-64,FR	6680403 	6592081 	6546091 	6696056 	6392301 	: 
NR,N_GE1,WORLD,Y55-64,HR	220194 	219088 	242638 	213128 b	228603 	: 
NR,N_GE1,WORLD,Y55-64,HU	733044 	712900 	776437 	755970 	725311 	: 
NR,N_GE1,WORLD,Y55-64,IE	341712 	329298 	361537 	364650 	383753 	392048 
NR,N_GE1,WORLD,Y55-64,IT	3326077 	3046034 	2990839 b	3101831 	3384549 	: 
NR,N_GE1,WORLD,Y55-64,LT	155426 	159597 	162886 	163006 	159903 	: 
NR,N_GE1,WORLD,Y55-64,LU	45954 	51674 	50710 	51793 	68160 	: 
NR,N_GE1,WORLD,Y55-64,LV	115681 	121867 	109815 	127035 	145032 	: 
NR,N_GE1,WORLD,Y55-64,ME	: 	: 	: 	: 	: c	: 
NR,N_GE1,WORLD,Y55-64,MT	29462 	18801 	19699 	16350 	22345 	: 
NR,N_GE1,WORLD,Y55-64,NL	1906753 	1860036 	1856430 	1840891 	1883384 	: 
NR,N_GE1,WORLD,Y55-64,NO	: 	586590 	: 	: 	: 	: 
NR,N_GE1,WORLD,Y55-64,PL	2430000 	2760000 	2552891 	2467707 	2737530 	: 
NR,N_GE1,WORLD,Y55-64,PT	585016 	576495 	536718 	569975 	570020 	: 
NR,N_GE1,WORLD,Y55-64,RO	488677 	517343 	545626 	584649 	504743 	: 
NR,N_GE1,WORLD,Y55-64,SE	: u	: 	812020 	649352 	679944 	: 
NR,N_GE1,WORLD,Y55-64,SI	167133 	151884 e	159383 e	150516 	175210 	: 
NR,N_GE1,WORLD,Y55-64,SK	322812 	439137 b	335360 	342930 	617526 	: 
NR,N_GE1,WORLD,Y55-64,UK	5425000 	5045000 	5242700 	5388600 	5281350 	: 
NR,N_GE1,WORLD,Y_GE15,AT	5437926 	5467644 	5511799 	5545035 	5661092 	: 
NR,N_GE1,WORLD,Y_GE15,BE	4534221 	5708759 	5255288 	5480598 	5825439 	: 
NR,N_GE1,WORLD,Y_GE15,BG	1201165 	1398293 	1612329 	1763434 	1841067 	: 
NR,N_GE1,WORLD,Y_GE15,CH	5640555 	5711495 	5754804 	5891862 	6116881 	: 
NR,N_GE1,WORLD,Y_GE15,CY	544925 e	373406 e	444501 e	476250 e	491014 e	: 
NR,N_GE1,WORLD,Y_GE15,CZ	6724164 	6580964 	7495851 	7190847 	7214653 	: 
NR,N_GE1,WORLD,Y_GE15,DE	54801532 	54860590 	53295033 	53820334 	53761868 	51707246 
NR,N_GE1,WORLD,Y_GE15,DK	3553989 e	3837602 	3864593 	3765894 	3832039 	: 
NR,N_GE1,WORLD,Y_GE15,EE	685717 	699962 	787749 	729477 	759058 	: 
NR,N_GE1,WORLD,Y_GE15,EL	3482938 	3050958 	3578609 	3380943 	3249406 	: 
NR,N_GE1,WORLD,Y_GE15,ES	20813614 	21114718 	20869290 	24449869 b	25614204 	: 
NR,N_GE1,WORLD,Y_GE15,FI	4061736 	4014698 	4032299 	4035811 	4079587 	: 
NR,N_GE1,WORLD,Y_GE15,FR	38380851 	38480199 	38229887 	38689286 	38049563 	: 
NR,N_GE1,WORLD,Y_GE15,HR	1909309 	1710521 	1781473 	1559333 b	1597525 	: 
NR,N_GE1,WORLD,Y_GE15,HU	4354928 	4318166 	4482218 	4523655 	4728742 	: 
NR,N_GE1,WORLD,Y_GE15,IE	2545174 	2534005 	2662137 	2688271 	2794153 	2833130 
NR,N_GE1,WORLD,Y_GE15,IT	24998498 	21648795 	19726341 b	21806405 	21802773 	: 
NR,N_GE1,WORLD,Y_GE15,LT	1329514 	1426056 	1454396 	1453527 	1412182 	: 
NR,N_GE1,WORLD,Y_GE15,LU	341767 	378419 	376984 	389075 	389553 	: 
NR,N_GE1,WORLD,Y_GE15,LV	791292 	889146 	878919 	915729 	963281 	: 
NR,N_GE1,WORLD,Y_GE15,ME	: 	: 	: 	: 	: c	: 
NR,N_GE1,WORLD,Y_GE15,MT	175406 	182068 	191974 	186655 	217996 	: 
NR,N_GE1,WORLD,Y_GE15,NL	11630639 	11604547 	11485661 	11498436 	11881447 	: 
NR,N_GE1,WORLD,Y_GE15,NO	: 	3508980 	: 	: 	: 	: 
NR,N_GE1,WORLD,Y_GE15,PL	15660000 	17050000 	17199994 	17447589 	18375208 	: 
NR,N_GE1,WORLD,Y_GE15,PT	3299493 	3364354 	3429793 	3698666 	3767951 	: 
NR,N_GE1,WORLD,Y_GE15,RO	3874801 	4230146 	4201139 	4357576 	3961003 	: 
NR,N_GE1,WORLD,Y_GE15,SE	: u	: 	6130000 	6592772 	6487885 	: 
NR,N_GE1,WORLD,Y_GE15,SI	1120255 	1081948 e	1105720 e	1101410 	1170373 	: 
NR,N_GE1,WORLD,Y_GE15,SK	2488503 	2566368 b	2455999 	2760910 	3039212 	: 
NR,N_GE1,WORLD,Y_GE15,UK	34148000 	33832000 	34338000 	34565500 	34583500 	: 
NR,N_GE1,WORLD,Y_GE65,AT	859815 	856664 	922698 	864426 	927143 	: 
NR,N_GE1,WORLD,Y_GE65,BE	557618 	900763 	717337 	810348 	945576 	: 
NR,N_GE1,WORLD,Y_GE65,BG	109645 	125927 	156034 	158046 	150628 	: 
NR,N_GE1,WORLD,Y_GE65,CH	939207 	970640 	1050599 	1033537 	1064098 	: 
NR,N_GE1,WORLD,Y_GE65,CY	68994 e	38537 e	45231 e	52934 e	56166 e	: 
NR,N_GE1,WORLD,Y_GE65,CZ	1004373 	986401 	1252190 	1205587 	1266478 	: 
NR,N_GE1,WORLD,Y_GE65,DE	11052127 	11409583 	10395127 	11680003 	11206289 	10499831 
NR,N_GE1,WORLD,Y_GE65,DK	568347 e	825929 	691093 	879976 	682845 	: 
NR,N_GE1,WORLD,Y_GE65,EE	74878 	81439 	106082 	85867 	108565 	: 
NR,N_GE1,WORLD,Y_GE65,EL	508833 	451686 	521638 	511164 	488603 	: 
NR,N_GE1,WORLD,Y_GE65,ES	3176039 	3343512 	3367684 	3352658 b	3536608 	: 
NR,N_GE1,WORLD,Y_GE65,FI	725241 	737493 	731768 	772362 	808925 	: 
NR,N_GE1,WORLD,Y_GE65,FR	7522484 	7694655 	7826592 	8139581 	8277670 	: 
